,State,Total Population,Confirmed,SURVEY_NUM,AgeGroup_18-24,AgeGroup_25-34,AgeGroup_35-44,AgeGroup_45-54,AgeGroup_55-64,AgeGroup_65-74,AgeGroup_75+,AgeGroup_Removed for disclosure risk,HHSize_Five persons,HHSize_Four persons,HHSize_One person,HHSize_REFUSED,HHSize_SKIPPED ON WEB,HHSize_Six or more persons,HHSize_Three persons,HHSize_Two persons,Density_Rural,Density_Suburban,Density_Urban,Worn Face Mask,Avoided Restaurants,Cancelled Recreational Activities,Avoided Crowded Places,Avoided High Risk,Sanitized Hands,Neighbour Alertness
10,Louisiana,4663616.0,66327,2,0.10928510814502922,0.18908060139035085,0.16645595120877194,0.1439170411388889,0.18335953447339182,0.13403117081959062,0.06839252529707604,0.005478067528947369,0.06429046863713452,0.1365906234918129,0.3078402960210525,0.0,0.0,0.037576183332748536,0.15544408932894738,0.2982583391903508,0.08039737468684213,0.2656341519356725,0.6539684733795318,0.883419421198831,0.7061846040780703,0.656031092832164,0.7942515487315789,0.7124077154701755,0.9272434604116958,0.23180705030409351
11,Louisiana,4663616.0,66327,3,0.09646475510852458,0.20737902195868854,0.17771322981278687,0.13472243640983605,0.18129686059081968,0.15350143247967216,0.04892226363770492,0.0,0.07713399130065572,0.1623258795396721,0.2832965879747542,0.001510475859672131,0.0,0.02825535437245901,0.1658725190708197,0.28160519188000005,0.1122359202622951,0.20876571233245902,0.6789983674032786,0.9262793658003272,0.7162320518229508,0.6582922386586886,0.8208036006865574,0.7000918589688523,0.9222491827124583,0.21025423428131143
12,Minnesota,5527358.0,38569,1,0.09925924180556962,0.19326282407873416,0.17045764787772152,0.147013727532405,0.18427985464253163,0.15472979268227846,0.050996911379493665,0.0,0.042855032172405064,0.13206995851113926,0.3074356475918988,0.0,0.003956847152151898,0.028154463384810126,0.12929580747518984,0.35623224371113943,0.18422249473316454,0.22665172389873417,0.589125781366835,0.6201274750481012,0.6919100488615189,0.7911514555637968,0.8359484984805058,0.6637661599731641,0.9622364246010122,0.252575626821519
13,Minnesota,5527358.0,38569,2,0.09978714989754901,0.19273491578627447,0.15891389566764708,0.16098846271838232,0.18184887167132358,0.11808884738063724,0.08763785687769607,0.0,0.05691775141593138,0.13869474535465684,0.32351432999068636,0.0,0.0,0.047807385419607835,0.07681081603284313,0.3562549717857842,0.19191483680612745,0.21665341891102952,0.5914317442823528,0.8194387481801471,0.6956425440968134,0.7680605348948527,0.8087413468583331,0.6425650027176469,0.9450722486627453,0.20288305853039218
14,Minnesota,5527358.0,38569,3,0.08529250062171054,0.20722956851019736,0.18818822988322365,0.12745242897368425,0.18611056954967103,0.13739643779605268,0.0683302646638158,0.0,0.05833762170986842,0.13412720448914478,0.2779937484457237,0.013278456699671051,0.0,0.09990543322039475,0.11147130876644737,0.30488622666710535,0.1974947975973685,0.2781173470641447,0.5243878553368423,0.8328294465483554,0.6656675725960524,0.7071208146440785,0.687699927717434,0.6224604120687496,0.9180889907105259,0.13957592240460528
15,Missouri,6090062.0,24177,1,0.11404422886055046,0.17736215675045874,0.16971543583180432,0.13554814387064226,0.18503208745382266,0.14380635475902137,0.07449159247308869,0.0,0.08197309026085627,0.17006952132232414,0.2286561433923547,0.0,0.0,0.04372396493914373,0.15914507814801224,0.3164322019366973,0.17491762902110095,0.29941184176574914,0.5256705292125382,0.696933003416208,0.7545326347036696,0.7794059029648316,0.8069596444737002,0.7161184739226302,0.9546122923088691,0.19942337002874616
16,Missouri,6090062.0,24177,2,0.057837152291148324,0.23356924231722487,0.14385448993014355,0.1398673637172249,0.20657380866961716,0.14767523040645933,0.070622712669378,0.0,0.07895163714712916,0.09388034251100474,0.2984796772913874,0.006925397206698565,0.0,0.01230884138062201,0.1311494038064593,0.37830470065789473,0.1617489946026316,0.27197700140693776,0.566274003991627,0.7735886567999998,0.7705859599255978,0.7344794605901912,0.7949958416648322,0.6587509054394732,0.9341065515253584,0.25333574495789474
17,Missouri,6090062.0,24177,3,0.09985210045300545,0.1915542939625683,0.1700164314125683,0.11512264058306007,0.20515659035573772,0.14910367847103828,0.0691942647612022,0.0,0.07944977775136615,0.09277434622103825,0.30243336557540973,0.0,0.0,0.060528110041530046,0.18518475573333334,0.2796296446765028,0.13758762162923496,0.32104363038387995,0.5413687479860653,0.8191337921928963,0.7807082208901641,0.6787645091786887,0.7464995140581967,0.6174669732273224,0.929807147307924,0.14439484469863392
18,Montana,983647.0,1249,1,0.09866226857200955,0.1762658134423445,0.15525458257248806,0.13832353219138754,0.18945258737296652,0.17105064939904313,0.07099056644545454,0.0,0.029197078569617223,0.0871590339942584,0.3110426483150718,0.0,0.009826945572248804,0.03432539997464115,0.1179507811590909,0.4104981124107654,0.38017325397918644,0.35038731300502435,0.26943943301148326,0.5670368883576555,0.726652330554545,0.7352424536674638,0.7661766271016742,0.5810800059803825,0.9194304584535876,0.2350202078588517
19,Montana,983647.0,1249,2,0.0830633289964467,0.19186475301954314,0.15165627472512694,0.12305935458730966,0.20831507282741119,0.17544007340583756,0.06660114244238577,0.0,0.08002580620609137,0.10158449612944163,0.30494851584213195,0.0,0.001179032802284264,0.02875352961522843,0.14128098648426396,0.34222763292461933,0.31913120972639586,0.3562146773271573,0.3246541129505077,0.6519250570918781,0.6750800322147207,0.6975103079258883,0.7065570746134519,0.6116823489370559,0.8995221560804566,0.20691617066928933
